DEPTH,NPHI,RHOB,SGR(=GR),COREFACIES,PHIH,PHIV,MARKERS,PHIE,SWE,VSH,POTA,LOGKH,LOGKV
3376.6,0.25,2.412,60.603,0.0,,,,12.07,0.552,0.47,0.166,,
3376.7,,,,,11.6,,,,,,,-0.42,
3376.8,0.289,2.483,59.616,0.0,,,,9.86,0.554,0.55,0.168,,
3377.0,0.34,2.555,58.628,0.0,,,,11.18,0.515,0.513,0.17,,
3377.2,0.342,2.56,60.206,0.0,13.8,14.3,,11.46,0.498,0.493,0.172,-0.444,-0.658
3377.4,0.343,2.512,61.783,0.0,,,,12.38,0.486,0.516,0.195,,
3377.6,0.344,2.476,70.389,0.0,,,,12.67,0.484,0.558,0.218,,
3377.8,0.343,2.518,85.894,0.0,,,,10.0,0.556,0.635,0.241,,
3378.0,0.342,2.561,94.822,0.0,,,,7.12,0.649,0.722,0.247,,
3378.2,0.312,2.584,97.513,0.0,,,,3.92,0.78,0.77,0.253,,
3378.4,0.291,2.606,95.574,0.0,,,,1.52,0.909,0.821,0.259,,
3378.6,0.301,2.639,93.735,0.0,,,,0.2,1.0,0.874,0.265,,
3378.8,0.323,2.649,91.895,0.0,,,,0.0,1.0,0.919,0.278,,
3379.0,0.344,2.614,95.709,0.0,,,,0.0,1.0,0.96,0.291,,
3379.2,0.384,2.539,96.967,0.0,,,,0.0,1.0,1.0,0.282,,
3379.4,0.38,2.461,98.225,0.0,,,,1.74,0.923,0.942,0.272,,
3379.6,0.347,2.384,94.75,0.0,,,,8.31,0.726,0.723,0.263,,
3379.8,0.261,2.384,91.126,0.0,,,,13.71,0.682,0.445,0.253,,
3380.0,0.253,2.506,87.501,0.0,,,,6.21,0.861,0.629,0.252,,
3380.2,0.329,2.549,86.501,0.0,,,,0.0,1.0,0.0,0.256,,
3380.4,0.401,2.486,89.303,0.0,,,,0.0,1.0,0.0,0.26,,
3380.6,0.431,2.335,92.105,0.0,,,,0.0,1.0,0.0,0.264,,
3380.8,0.407,2.26,93.005,0.0,,,,0.0,1.0,0.0,0.255,,
3381.0,0.317,2.389,93.904,0.0,,,,0.0,1.0,0.0,0.247,,
3381.2,0.229,2.479,82.876,0.0,,,,8.07,0.85,0.517,0.239,,
3381.4,0.189,2.517,69.785,0.0,,,,6.04,0.984,0.455,0.232,,
3381.6,0.203,2.555,66.887,0.0,,,,3.58,1.0,0.552,0.226,,
3381.8,0.305,2.529,63.989,0.0,,,,5.53,0.729,0.755,0.22,,
3382.0,0.365,2.491,70.664,0.0,,,,6.66,0.666,0.778,0.213,,
3382.2,0.346,2.393,78.861,0.0,,,,8.05,0.655,0.732,0.229,,
3382.4,0.321,2.375,84.988,0.0,,,,11.53,0.611,0.616,0.244,,
3382.5,,,,,6.4,,,,,,,-0.921,
3382.6,0.305,2.516,91.114,0.0,,,,5.25,0.768,0.802,0.251,,
3382.8,0.318,2.596,92.344,0.0,,,,0.0,1.0,0.952,0.257,,
3383.0,0.305,2.609,93.575,0.0,,,,0.0,1.0,0.935,0.264,,
3383.2,0.294,2.621,93.765,0.0,,,,0.0,1.0,0.905,0.271,,
3383.4,0.295,2.634,93.954,0.0,,,,0.0,1.0,0.91,0.278,,
3383.6,0.298,2.641,94.144,0.0,,,,0.0,1.0,0.916,0.285,,
3383.8,0.301,2.631,95.539,0.0,,,,0.0,1.0,0.924,0.287,,
3384.0,0.296,2.615,96.935,0.0,,,,0.0,1.0,0.912,0.288,,
3384.2,0.292,2.598,93.909,0.0,,,,0.3,1.0,0.895,0.29,,
3384.4,0.295,2.582,93.075,0.0,,,,1.19,1.0,0.887,0.291,,
3384.6,0.308,2.589,92.242,0.0,,,,0.73,1.0,0.925,0.293,,
3384.8,0.322,2.595,91.408,0.0,,,,0.0,1.0,0.972,0.297,,
3385.0,0.333,2.623,94.007,0.0,,,,0.0,1.0,1.0,0.301,,
3385.1,,,,,5.4,,,,,,,,
3385.2,0.344,2.632,96.606,0.0,,,,0.0,1.0,1.0,0.306,,
3385.4,0.351,2.598,99.286,0.0,,,,0.0,1.0,1.0,0.308,,
3385.6,0.347,2.562,101.965,0.0,,,,0.0,1.0,1.0,0.31,,
3385.8,0.329,2.521,101.226,0.0,,,,3.47,0.97,0.885,0.312,,
3386.0,0.307,2.547,100.487,0.0,,,,3.28,0.971,0.855,0.299,,
3386.2,0.309,2.586,99.678,0.0,,,,0.91,1.0,0.922,0.296,,
3386.4,0.312,2.635,98.87,0.0,,,,0.0,1.0,0.942,0.292,,
3386.6,0.31,2.644,98.062,0.0,,,,0.0,1.0,0.943,0.289,,
3386.8,0.308,2.621,97.254,0.0,,,,0.0,1.0,0.936,0.294,,
3387.0,0.306,2.587,100.833,0.0,,,,0.83,1.0,0.92,0.299,,
3387.2,0.296,2.583,101.76,0.0,,,,1.12,1.0,0.89,0.304,,
3387.4,0.286,2.58,102.686,0.0,,,,1.42,1.0,0.854,0.309,,
3387.6,0.287,2.6,98.252,0.0,,,,0.3,1.0,0.878,0.297,,
3387.8,0.287,2.62,92.866,0.0,,,,0.0,1.0,0.879,0.284,,
3388.0,0.301,2.64,94.476,0.0,,,,0.0,1.0,0.924,0.284,,
3388.2,0.315,2.651,96.086,0.0,,,,0.0,1.0,0.955,0.283,,
3388.4,0.301,2.663,97.092,0.0,,,,0.0,1.0,0.925,0.283,,
3388.6,0.283,2.679,98.098,0.0,,,,0.0,1.0,0.866,0.282,,
3388.8,0.265,2.673,96.826,0.0,,,,0.0,1.0,0.795,0.265,,
3389.0,0.253,2.668,90.684,0.0,,,,0.0,1.0,0.766,0.248,,
3389.2,0.241,2.658,79.319,0.0,,,,0.0,1.0,0.733,0.23,,
3389.4,0.192,2.629,67.953,0.0,,,,0.41,1.0,0.575,0.197,,
3389.5,,,,,11.7,,,,,,,0.037,
3389.6,0.173,2.599,55.664,0.0,,,,1.84,1.0,0.493,0.163,,
3389.8,0.179,2.562,46.156,0.0,,,,3.26,0.954,0.5,0.16,,
3389.9,,,,,11.8,11.4,,,,,,-0.229,-0.699
3390.0,0.186,2.568,48.675,0.0,,,,2.82,0.935,0.529,0.176,,
3390.2,0.234,2.574,68.243,0.0,,,,3.06,0.841,0.634,0.193,,
3390.4,0.276,2.605,85.359,0.0,,,,3.46,0.81,0.679,0.217,,
3390.6,0.3,2.605,96.856,0.0,,,,0.0,0.828,0.0,0.242,,
3390.8,0.384,2.572,99.673,0.0,,,,0.0,0.777,0.0,0.241,,
3391.0,0.45,2.518,98.035,0.0,,,,0.0,0.872,0.0,0.241,,
3391.2,0.479,2.445,96.396,0.0,,,,0.0,1.0,0.0,0.241,,
3391.4,0.447,2.327,92.601,0.0,,,,0.0,0.914,0.0,0.244,,
3391.6,0.401,2.152,91.887,0.0,,,,0.0,0.628,0.0,0.247,,
3391.8,0.375,2.125,96.202,0.0,,,,0.0,0.587,0.0,0.25,,
3392.0,0.369,2.367,100.08,0.0,,,,0.0,0.772,0.0,0.271,,
3392.2,0.359,2.453,101.337,0.0,,,,4.2,0.846,0.86,0.266,,
3392.4,0.338,2.5,99.443,0.0,,,,3.5,0.846,0.882,0.268,,
3392.6,0.317,2.546,93.811,0.0,,,,3.3,0.836,0.879,0.271,,
3392.8,0.312,2.547,93.579,0.0,,,,6.2,0.681,0.702,0.273,,
3393.0,0.352,2.513,92.471,0.0,,,,0.0,1.0,0.0,0.266,,
3393.2,0.42,2.331,71.21,0.0,,,,0.0,1.0,0.0,0.221,,
3393.4,0.497,1.967,47.123,27.0,,,,0.0,1.0,0.0,0.175,,
3393.6,0.589,1.846,32.691,27.0,,,,0.0,1.0,0.0,0.118,,
3393.8,0.465,1.698,32.996,27.0,,,,0.0,1.0,0.0,0.1,,
3394.0,0.33,1.793,33.3,27.0,16.3,17.5,4.0,0.0,1.0,0.0,0.103,2.0,1.846
3394.2,0.23,2.243,33.206,27.0,,,,22.61,0.353,0.137,0.106,,
3394.4,0.198,2.354,33.111,0.0,,,,16.03,0.517,0.216,0.108,,
3394.5,,,,,16.3,,,,,,,1.736,
3394.6,0.165,2.406,33.895,0.0,,,,13.12,0.686,0.2,0.111,,
3394.8,0.157,2.388,34.679,0.0,,,,14.3,0.732,0.144,0.125,,
3395.0,0.148,2.371,35.253,0.0,17.5,,,15.44,0.772,0.09,0.139,1.698,
3395.2,0.148,2.353,35.826,0.0,,,,16.52,0.796,0.062,0.153,,
3395.4,0.147,2.35,36.399,0.0,,,,16.73,0.812,0.056,0.155,,
3395.5,,,,,18.0,,,,,,,2.124,
3395.6,0.147,2.346,36.971,0.0,,,,16.94,0.813,0.05,0.158,,
3395.8,0.144,2.348,37.543,0.0,,,,16.86,0.827,0.044,0.159,,
3396.0,0.14,2.35,37.558,0.0,17.8,18.0,,16.78,0.843,0.035,0.16,2.225,0.972
3396.2,0.137,2.352,37.573,0.0,,,,16.69,0.855,0.029,0.16,,
3396.4,0.137,2.365,38.64,0.0,,,,15.87,0.881,0.052,0.159,,
3396.5,,,,,17.4,,,,,,,2.283,
3396.6,0.138,2.367,38.872,0.0,,,,15.76,0.886,0.057,0.157,,
3396.8,0.139,2.367,39.105,0.0,,,,15.73,0.883,0.06,0.155,,
3397.0,0.14,2.367,38.386,0.0,15.0,,,15.7,0.878,0.064,0.153,1.348,
3397.2,0.141,2.358,37.667,0.0,,,,16.24,0.857,0.054,0.152,,
3397.4,0.141,2.35,36.948,0.0,,,,16.77,0.84,0.039,0.149,,
3397.5,,,,,16.7,,,,,,,2.013,
3397.6,0.141,2.357,38.725,0.0,,,,16.32,0.856,0.051,0.147,,
3397.8,0.148,2.364,38.798,0.0,,,,15.81,0.857,0.083,0.145,,
3398.0,0.156,2.368,38.871,0.0,16.8,17.2,,15.53,0.851,0.11,0.142,1.821,1.922
3398.2,0.165,2.359,36.893,0.0,,,,16.0,0.82,0.125,0.14,,
3398.4,0.164,2.35,36.046,0.0,,,,16.56,0.821,0.105,0.137,,
3398.5,,,,,19.1,,,,,,,1.804,
3398.6,0.166,2.343,35.612,0.0,,,,16.98,0.818,0.1,0.144,,
3398.8,0.168,2.344,33.663,0.0,,,,16.91,0.815,0.107,0.151,,
3399.0,0.172,2.341,32.575,0.0,,,,17.07,0.798,0.119,0.145,,
3399.1,,,,,17.8,16.6,,,,,,2.004,0.94
3399.2,0.181,2.382,31.486,0.0,,,,14.63,0.84,0.203,0.139,,
3399.4,0.19,2.417,33.458,0.0,,,,13.86,0.881,0.198,0.132,,
3399.5,,,,,17.2,,,,,,,1.71,
3399.6,0.202,2.46,33.666,0.0,,,,12.68,0.931,0.206,0.123,,
3399.8,0.209,2.468,33.874,0.0,,,,12.48,0.928,0.213,0.114,,
3400.0,0.204,2.454,30.518,0.0,16.9,,,12.11,0.9,0.255,0.112,1.911,
3400.2,0.199,2.441,31.57,0.0,,,,12.02,0.872,0.279,0.109,,
3400.4,0.191,2.424,40.498,0.0,,,,11.81,0.837,0.311,0.106,,
3400.5,,,,,19.9,,,,,,,1.623,
3400.6,0.193,2.42,54.22,0.0,,,,12.01,0.81,0.311,0.104,,
3400.8,0.208,2.459,69.688,0.0,,,,9.52,0.813,0.411,0.109,,
3401.0,0.21,2.497,81.841,0.0,11.0,11.9,,7.17,0.846,0.476,0.114,-0.387,-0.42
3401.2,0.211,2.533,90.829,0.0,,,,4.9,0.92,0.538,0.119,,
3401.4,0.212,2.57,84.042,0.0,,,,2.53,1.0,0.602,0.13,,
3401.5,,,,,9.7,,,,,,,-0.495,
3401.6,0.206,2.576,55.21,0.0,,,,2.18,1.0,0.595,0.141,,
3401.8,0.201,2.51,39.726,0.0,,,,6.39,0.965,0.475,0.145,,
3402.0,0.186,2.457,38.429,0.0,18.6,,,9.83,0.93,0.348,0.14,2.622,
3402.2,0.171,2.386,37.133,0.0,,,,14.31,0.889,0.185,0.147,,
3402.4,0.168,2.34,34.658,0.0,,,,17.15,0.868,0.101,0.15,,
3402.5,,,,,20.1,,,,,,,2.592,
3402.6,0.164,2.326,33.806,0.0,,,,18.04,0.887,0.069,0.152,,
3402.8,0.171,2.312,32.956,0.0,,,,18.84,0.865,0.068,0.148,,
3403.0,0.178,2.338,32.104,0.0,19.3,19.0,,17.2,0.89,0.133,0.144,2.846,2.658
3403.2,0.173,2.357,32.335,0.0,,,,16.07,0.934,0.146,0.147,,
3403.4,0.169,2.358,32.566,0.0,,,,16.06,0.949,0.13,0.149,,
3403.5,,,,,19.2,,,,,,,2.822,
3403.6,0.163,2.355,32.797,0.0,,,,16.32,0.95,0.108,0.151,,
